gameID,Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,spread,total,Predicted_Winner,Actual_Winner,Predicted_Spread,Actual_Spread,Predicted_Total,Actual_Total
202112070LAL,112.63,117,110.02,102,-2.5,218.5,home,home,-2.6099999999999994,-15,222.64999999999998,219
202203160SAC,114.51,126,118.24,135,8.5,242.0,away,away,3.7299999999999898,9,232.75,261
202212300ATL,116.44,121,118.69,130,-9.5,253.5,away,away,2.25,9,235.13,251
202304020MIL,118.72,117,117.92,104,-5.0,236.0,home,home,-0.7999999999999972,-13,236.64,221
202210260NYK,117.31,134,114.4,131,-7.5,224.0,home,home,-2.9099999999999966,-3,231.71,265
202201190ATL,118.75,134,115.22,122,-1.0,235.5,home,home,-3.530000000000001,-12,233.97,256
202403210MIL,115.33,115,107.67,108,-10.5,222.0,home,home,-7.659999999999997,-7,223.0,223
202401090NYK,123.81,112,109.88,84,-13.0,229.0,home,home,-13.930000000000007,-28,233.69,196
202202080NOP,117.24,110,106.54,97,-8.0,224.5,home,home,-10.699999999999989,-13,223.78,207
202312160CLE,115.94,127,115.62,119,-4.5,236.5,home,home,-0.3199999999999932,-8,231.56,246
202403120LAC,110.55,100,112.41,118,-5.5,213.5,away,away,1.8599999999999994,18,222.95999999999998,218
202401290MIA,114.0,105,114.97,118,-2.5,230.5,away,away,0.9699999999999989,13,228.97,223
202404120OKC,115.87,125,108.45,107,-14.0,224.0,home,home,-7.420000000000002,-18,224.32,232
202401150ATL,118.44,109,120.43,99,-8.5,246.0,away,home,1.990000000000009,-10,238.87,208
202403270ORL,111.42,93,108.73,101,-4.0,218.0,home,away,-2.6899999999999977,8,220.15,194
202401250BRK,108.92,94,114.31,96,4.0,218.0,away,away,5.390000000000001,2,223.23000000000002,190
202202020IND,112.86,118,111.99,119,-3.5,225.5,home,away,-0.8700000000000045,1,224.85,237
202401050DAL,119.92,139,110.14,103,-7.0,234.0,home,home,-9.780000000000001,-36,230.06,242
202311080MEM,110.14,102,106.4,108,2.0,217.0,home,away,-3.739999999999995,6,216.54000000000002,210
202111200SAC,108.17,105,108.85,123,17.5,229.5,away,away,0.6799999999999926,18,217.01999999999998,228
202201140PHI,109.4,111,104.75,99,-3.0,207.5,home,home,-4.650000000000006,-12,214.15,210
202211050ATL,109.33,124,115.01,121,-1.5,234.5,away,home,5.680000000000007,-3,224.34,245
202404140NYK,117.49,120,112.41,119,-13.5,218.0,home,home,-5.079999999999998,-1,229.89999999999998,239
202311210PHI,117.8,119,113.38,122,-8.0,218.5,home,away,-4.420000000000002,3,231.18,241
202303190MIL,117.23,118,112.78,111,-7.5,234.0,home,home,-4.450000000000003,-7,230.01,229
202303020DAL,120.02,133,112.42,126,-3.0,229.0,home,home,-7.599999999999994,-7,232.44,259
202303010NYK,113.01,142,110.36,118,-8.0,223.5,home,home,-2.6500000000000057,-24,223.37,260
202203180SAC,110.84,97,115.64,126,10.5,220.5,away,away,4.799999999999997,29,226.48000000000002,223
202402070LAC,117.56,106,116.23,117,-5.5,234.5,home,away,-1.3299999999999983,11,233.79000000000002,223
202402100ORL,110.05,114,107.98,108,-5.0,218.0,home,home,-2.069999999999993,-6,218.03,222
202401080MIA,112.57,120,110.71,113,-4.5,218.5,home,home,-1.8599999999999994,-7,223.27999999999997,233
202312200CHI,115.15,124,114.11,108,3.5,225.0,home,home,-1.0400000000000063,-16,229.26,232
202201160MIN,112.13,119,107.97,99,-5.0,215.0,home,home,-4.159999999999997,-20,220.1,218
202402140ORL,113.36,118,106.68,100,-3.5,211.5,home,home,-6.679999999999993,-18,220.04000000000002,218
202402140MEM,109.76,121,110.14,113,-1.5,220.5,away,home,0.37999999999999545,-8,219.9,234
202211020LAL,116.16,120,115.68,117,2.5,229.5,home,home,-0.47999999999998977,-3,231.84,237
202203110LAL,113.45,122,116.11,109,-4.5,230.5,away,home,2.6599999999999966,-13,229.56,231
202202020NYK,109.36,108,109.93,120,4.0,218.0,away,away,0.5700000000000074,12,219.29000000000002,228
202401300ATL,118.12,138,118.86,122,-5.5,247.5,away,home,0.7399999999999949,-16,236.98000000000002,260
202401050DEN,121.52,120,111.33,122,-10.0,224.0,home,away,-10.189999999999998,2,232.85,242
202403300NOP,117.47,92,110.05,104,6.0,223.5,home,away,-7.420000000000002,12,227.51999999999998,196
202211270BOS,120.64,130,109.89,121,-8.0,220.5,home,home,-10.75,-9,230.53,251
202211290DAL,111.74,116,110.0,113,-1.0,227.0,home,home,-1.7399999999999949,-3,221.74,229
202402140PHI,110.52,104,116.71,109,-2.5,226.5,away,away,6.189999999999998,5,227.23,213
202203110MIA,109.17,117,106.17,105,-8.0,210.0,home,home,-3.0,-12,215.34,222
