Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,Actual_Spread,Actual_Total,Predicted_Winner,Actual_Winner,Predicted_Spread,Predicted_Total
114.72,127,104.52,106,-13.0,220.5,home,home,10.200000000000003,219.24
117.33,135,114.1,95,-2.0,236.5,home,home,3.230000000000004,231.43
112.3,115,120.67,126,6.5,235.5,away,away,-8.370000000000005,232.97
116.19,117,107.03,127,2.0,218.0,home,away,9.159999999999997,223.22
116.66,92,105.51,122,-3.5,211.5,home,away,11.149999999999991,222.17000000000002
103.36,99,111.55,126,2.5,215.5,away,away,-8.189999999999998,214.91
120.41,113,118.03,112,1.5,242.5,home,home,2.3799999999999955,238.44
112.14,122,110.98,115,-3.5,214.5,home,home,1.1599999999999966,223.12
113.03,112,116.44,93,1.0,242.5,away,home,-3.4099999999999966,229.47
114.95,99,115.05,122,-6.0,235.5,away,away,-0.09999999999999432,230.0
108.32,124,117.36,136,4.5,225.0,away,away,-9.040000000000006,225.68
119.6,115,113.36,104,-7.5,223.5,home,home,6.239999999999995,232.95999999999998
119.41,113,114.25,126,-12.5,225.5,home,away,5.159999999999997,233.66
110.68,120,111.47,136,3.5,232.5,away,away,-0.789999999999992,222.15
118.6,107,109.09,100,-8.5,226.0,home,home,9.509999999999991,227.69
110.84,88,111.7,100,3.5,217.0,away,away,-0.8599999999999994,222.54000000000002
117.19,118,112.34,109,-3.0,221.5,home,home,4.849999999999994,229.53
110.85,103,118.07,116,12.0,216.0,away,away,-7.219999999999999,228.92
111.7,119,110.62,128,8.5,224.5,home,away,1.0799999999999983,222.32
114.58,130,104.13,121,-18.0,223.0,home,home,10.450000000000003,218.70999999999998
113.19,120,113.68,114,-2.0,230.5,away,home,-0.4900000000000091,226.87
112.92,112,112.06,109,-6.0,232.5,home,home,0.8599999999999994,224.98000000000002
119.91,144,122.6,145,-1.5,245.5,away,away,-2.6899999999999977,242.51
114.36,93,111.13,110,-9.5,221.0,home,away,3.230000000000004,225.49
113.67,107,121.62,123,6.5,230.0,away,away,-7.950000000000003,235.29000000000002
126.09,129,121.13,118,-14.0,241.5,home,home,4.960000000000008,247.22
116.12,139,111.96,132,-1.5,248.5,home,home,4.160000000000011,228.07999999999998
109.54,100,114.2,102,12.0,221.5,away,away,-4.659999999999997,223.74
122.5,121,114.86,123,-7.5,244.5,home,away,7.640000000000001,237.36
116.81,127,110.61,117,-3.5,219.5,home,home,6.200000000000003,227.42000000000002
114.73,111,113.94,108,-4.5,226.0,home,home,0.7900000000000063,228.67000000000002
116.0,101,111.76,107,-2.5,224.5,home,away,4.239999999999995,227.76
110.58,129,121.27,115,4.0,235.5,away,home,-10.689999999999998,231.85
120.78,128,125.11,136,11.5,244.5,away,away,-4.329999999999998,245.89
117.48,107,110.62,86,-13.0,215.0,home,home,6.859999999999999,228.10000000000002
119.68,128,120.06,110,-6.0,243.5,away,home,-0.37999999999999545,239.74
118.74,101,114.36,119,2.0,231.0,home,away,4.3799999999999955,233.1
107.85,105,118.98,114,13.5,234.5,away,away,-11.13000000000001,226.82999999999998
112.54,123,121.55,140,14.0,240.0,away,away,-9.009999999999991,234.09
119.39,134,104.55,120,-13.0,235.5,home,home,14.840000000000003,223.94
121.17,108,115.0,105,-9.5,223.0,home,home,6.170000000000002,236.17000000000002
118.47,127,115.55,126,-2.0,235.0,home,home,2.9200000000000017,234.01999999999998
109.86,103,114.72,113,9.5,222.5,away,away,-4.859999999999999,224.57999999999998
116.62,109,113.49,124,5.5,223.5,home,away,3.1300000000000097,230.11
107.23,93,107.06,105,12.5,205.5,home,away,0.1700000000000017,214.29000000000002
121.69,104,111.24,94,-2.0,226.0,home,home,10.450000000000003,232.93
114.62,123,114.61,122,16.0,228.5,home,home,0.010000000000005116,229.23000000000002
106.01,113,110.26,104,-1.0,206.5,away,home,-4.25,216.27
119.12,119,107.97,107,-16.0,232.5,home,home,11.150000000000006,227.09
117.19,147,107.73,119,-10.5,227.5,home,home,9.459999999999994,224.92000000000002
119.35,125,118.2,119,-17.5,233.0,home,home,1.1499999999999915,237.55
112.26,120,115.52,121,7.5,221.0,away,away,-3.259999999999991,227.78
111.93,106,111.55,100,-9.5,221.5,home,home,0.38000000000000966,223.48000000000002
114.28,101,111.26,103,3.0,221.0,home,away,3.019999999999996,225.54000000000002
105.68,99,114.23,110,3.5,223.0,away,away,-8.549999999999997,219.91000000000003
112.27,97,105.82,123,-7.5,224.0,home,away,6.450000000000003,218.08999999999997
115.48,124,117.43,121,-2.5,227.5,away,home,-1.9500000000000028,232.91000000000003
106.87,106,121.48,114,11.5,234.5,away,away,-14.61,228.35000000000002
107.42,112,115.03,118,8.5,216.5,away,away,-7.609999999999999,222.45
120.29,129,117.92,115,-12.0,248.0,home,home,2.3700000000000045,238.21
119.73,133,107.17,112,-13.0,227.5,home,home,12.560000000000002,226.9
110.63,110,116.87,118,8.0,227.0,away,away,-6.240000000000009,227.5
114.27,109,106.62,110,-15.5,225.0,home,away,7.6499999999999915,220.89
108.48,113,115.04,98,2.5,227.5,away,home,-6.560000000000002,223.52
118.12,121,118.18,115,-3.5,229.5,away,home,-0.060000000000002274,236.3
112.1,105,108.09,127,10.5,220.0,home,away,4.009999999999991,220.19
115.89,115,110.52,91,-11.5,220.0,home,home,5.3700000000000045,226.41
115.78,122,118.99,133,4.5,248.5,away,away,-3.2099999999999937,234.76999999999998
108.41,117,118.43,113,13.0,225.5,away,home,-10.02000000000001,226.84
115.61,122,109.86,84,2.5,222.5,home,home,5.75,225.47
117.87,134,118.4,122,4.5,241.5,away,home,-0.5300000000000011,236.27
125.18,112,113.11,104,-12.0,247.5,home,home,12.070000000000007,238.29000000000002
112.43,120,107.57,108,-14.5,219.5,home,home,4.860000000000014,220.0
112.16,108,114.04,120,3.5,226.0,away,away,-1.8800000000000097,226.2
116.07,99,113.32,121,3.5,224.0,home,away,2.75,229.39
119.23,130,115.08,104,-8.0,239.5,home,home,4.150000000000006,234.31
123.17,118,120.36,133,-2.5,237.5,home,away,2.8100000000000023,243.53
112.89,104,99.1,91,-8.5,217.5,home,home,13.790000000000006,211.99
112.43,100,106.81,107,-1.5,210.5,home,away,5.6200000000000045,219.24
112.1,107,106.59,123,9.5,222.5,home,away,5.509999999999991,218.69
118.5,120,112.12,134,2.0,235.5,home,away,6.3799999999999955,230.62
121.73,127,118.36,90,4.5,247.5,home,home,3.3700000000000045,240.09
118.59,126,114.87,106,-8.0,231.0,home,home,3.719999999999999,233.46
113.26,112,115.18,121,2.5,224.0,away,away,-1.9200000000000017,228.44
110.53,134,112.06,124,-18.5,227.5,away,home,-1.5300000000000011,222.59
107.04,121,100.39,84,-3.5,202.5,home,home,6.650000000000006,207.43
114.97,106,114.4,114,6.5,220.0,home,away,0.5699999999999932,229.37
122.55,120,119.31,126,5.5,234.5,home,away,3.239999999999995,241.86
116.28,133,107.07,123,-7.5,220.5,home,home,9.210000000000008,223.35
