Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BOS,202111060DAL,0,0,42,86,.488,9,31,.290,11,16,.688,8,28,36,20,6,2,11,14,104,.559,.541,.360,.186,19.5,80.0,47.4,47.6,6.5,5.1,10.6,100.0,112.5,115.7
DAL,202111060DAL,1,1,41,78,.526,13,39,.333,12,14,.857,7,33,40,19,7,6,15,18,107,.636,.609,.500,.179,20.0,80.5,52.6,46.3,7.6,10.9,15.1,100.0,115.7,112.5
ATL,202111060PHO,0,0,42,97,.433,13,33,.394,20,23,.870,14,36,50,18,3,1,12,16,117,.546,.500,.340,.237,27.5,87.8,54.3,42.9,2.9,2.2,10.1,100.0,114.2,118.1
PHO,202111060PHO,1,1,45,88,.511,14,43,.326,17,21,.810,5,37,42,26,8,6,12,22,121,.622,.591,.489,.239,12.2,72.5,45.7,57.8,7.8,9.4,11.0,100.0,118.1,114.2
LAL,202111060POR,0,0,31,90,.344,9,32,.281,19,24,.792,11,48,59,20,8,5,19,17,90,.447,.394,.356,.267,21.6,80.0,53.2,64.5,7.7,12.5,15.9,100.0,86.1,100.5
POR,202111060POR,1,1,36,95,.379,15,55,.273,18,24,.750,12,40,52,22,14,7,12,21,105,.497,.458,.579,.253,20.0,78.4,46.8,61.1,13.4,12.1,10.2,100.0,100.5,86.1
BRK,202111070TOR,1,0,41,80,.513,17,38,.447,17,20,.850,12,36,48,29,3,0,16,15,116,.653,.619,.475,.250,30.8,81.8,57.8,70.7,3.3,0.0,15.3,100.0,125.8,111.7
TOR,202111070TOR,0,1,41,87,.471,7,30,.233,14,18,.778,8,27,35,23,10,6,8,16,103,.543,.511,.345,.207,18.2,69.2,42.2,56.1,10.8,14.3,7.8,100.0,111.7,125.8
CLE,202111070NYK,1,0,49,90,.544,19,35,.543,9,11,.818,11,37,48,31,8,2,17,18,126,.664,.650,.389,.122,30.6,84.1,60.0,63.3,8.2,3.7,15.2,100.0,128.7,111.4
NYK,202111070NYK,0,1,39,85,.459,9,31,.290,22,24,.917,7,25,32,21,9,9,11,14,109,.570,.512,.365,.282,15.9,69.4,40.0,53.8,9.2,16.4,10.3,100.0,111.4,128.7
UTA,202111070ORL,0,0,34,89,.382,8,42,.190,24,29,.828,16,34,50,21,10,7,18,17,100,.491,.427,.472,.326,33.3,82.9,56.2,61.8,10.2,12.7,15.0,100.0,102.4,109.5
ORL,202111070ORL,1,1,43,87,.494,12,32,.375,9,11,.818,7,32,39,24,8,8,13,22,107,.583,.563,.368,.126,17.1,66.7,43.8,55.8,8.2,17.0,12.4,100.0,109.5,102.4
IND,202111070SAC,1,0,37,83,.446,6,25,.240,14,18,.778,13,41,54,13,8,7,21,24,94,.517,.482,.301,.217,34.2,83.7,62.1,35.1,8.4,14.0,18.8,100.0,99.0,95.8
SAC,202111070SAC,0,1,31,84,.369,10,34,.294,19,22,.864,8,25,33,20,14,6,12,18,91,.486,.429,.405,.262,16.3,65.8,37.9,64.5,14.7,10.3,11.4,100.0,95.8,99.0
MIL,202111070WAS,0,0,37,94,.394,10,36,.278,10,18,.556,16,33,49,17,14,3,13,10,94,.461,.447,.383,.191,29.6,89.2,53.8,45.9,14.2,5.6,11.3,100.0,95.6,102.7
WAS,202111070WAS,1,1,41,81,.506,11,27,.407,8,13,.615,4,38,42,24,8,8,19,16,101,.582,.574,.333,.160,10.8,70.4,46.2,58.5,8.1,13.8,18.0,100.0,102.7,95.6
SAS,202111070OKC,0,0,41,100,.410,6,30,.200,6,9,.667,11,35,46,29,9,10,10,16,94,.452,.440,.300,.090,20.8,70.0,44.7,70.7,9.1,19.2,8.8,100.0,94.7,99.7
OKC,202111070OKC,1,1,35,94,.372,12,42,.286,17,20,.850,15,42,57,21,5,7,15,14,99,.482,.436,.447,.213,30.0,79.2,55.3,60.0,5.0,10.0,12.7,100.0,99.7,94.7
HOU,202111070GSW,0,0,36,79,.456,10,33,.303,25,37,.676,12,30,42,17,11,3,21,16,107,.562,.519,.418,.468,26.1,81.1,50.6,47.2,10.8,7.7,18.1,100.0,104.6,117.4
GSW,202111070GSW,1,1,44,85,.518,15,46,.326,17,20,.850,7,34,41,31,12,3,17,28,120,.640,.606,.541,.235,18.9,73.9,49.4,70.5,11.7,6.5,15.3,100.0,117.4,104.6
CHO,202111070LAC,0,0,41,101,.406,10,33,.303,14,18,.778,12,32,44,20,13,2,13,21,106,.487,.455,.327,.178,21.8,82.1,46.8,48.8,12.2,5.3,10.7,100.0,99.6,112.7
LAC,202111070LAC,1,1,41,86,.477,18,48,.375,20,21,.952,7,43,50,24,8,5,20,16,120,.630,.581,.558,.244,17.9,78.2,53.2,58.5,7.5,7.4,17.4,100.0,112.7,99.6
NYK,202111080PHI,1,0,40,91,.440,13,40,.325,10,13,.769,14,41,55,25,4,4,13,18,103,.532,.511,.440,.143,28.6,77.4,53.9,62.5,4.3,7.8,11.8,100.0,110.5,103.0
